index,Date,Adj Close,Close,High,Low,Open,Volume
0,,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
1,2021-08-06,142.66366577148438,146.13999938964844,147.11000061035156,145.6300048828125,146.35000610351562,54126800
2,2021-08-09,142.6148681640625,146.08999633789062,146.6999969482422,145.52000427246094,146.1999969482422,48908700
3,2021-08-10,142.13650512695312,145.60000610351562,147.7100067138672,145.3000030517578,146.44000244140625,69023100
4,2021-08-11,142.39031982421875,145.86000061035156,146.72000122070312,145.52999877929688,146.0500030517578,48493500
5,2021-08-12,145.3482666015625,148.88999938964844,149.0500030517578,145.83999633789062,146.19000244140625,72282600
6,2021-08-13,145.5532684326172,149.10000610351562,149.44000244140625,148.27000427246094,148.97000122070312,59375000
7,2021-08-16,147.52520751953125,151.1199951171875,151.19000244140625,146.47000122070312,148.5399932861328,103296000
8,2021-08-17,146.61732482910156,150.19000244140625,151.67999267578125,149.08999633789062,150.22999572753906,92229700
9,2021-08-18,142.87843322753906,146.36000061035156,150.72000122070312,146.14999389648438,149.8000030517578,86326000
10,2021-08-19,143.21034240722656,146.6999969482422,148.0,144.5,145.02999877929688,86960300
11,2021-08-20,144.66488647460938,148.19000244140625,148.5,146.77999877929688,147.44000244140625,60549600
12,2021-08-23,146.1487274169922,149.7100067138672,150.19000244140625,147.88999938964844,148.30999755859375,60131800
13,2021-08-24,146.06089782714844,149.6199951171875,150.86000061035156,149.14999389648438,149.4499969482422,48606400
14,2021-08-25,144.8308563232422,148.36000061035156,150.32000732421875,147.8000030517578,149.80999755859375,58991300
15,2021-08-26,144.03038024902344,147.5399932861328,149.1199951171875,147.50999450683594,148.35000610351562,48597200
16,2021-08-27,145.06517028808594,148.60000610351562,148.75,146.8300018310547,147.47999572753906,55802400
17,2021-08-30,149.47764587402344,153.1199951171875,153.49000549316406,148.61000061035156,149.0,90956700
18,2021-08-31,148.2183380126953,151.8300018310547,152.8000030517578,151.2899932861328,152.66000366210938,86453100
19,2021-09-01,148.8821258544922,152.50999450683594,154.97999572753906,152.33999633789062,152.8300018310547,80313700
20,2021-09-02,149.9950714111328,153.64999389648438,154.72000122070312,152.39999389648438,153.8699951171875,71115500
21,2021-09-03,150.62957763671875,154.3000030517578,154.6300048828125,153.08999633789062,153.75999450683594,57808700
22,2021-09-07,152.9626922607422,156.69000244140625,157.25999450683594,154.38999938964844,154.97000122070312,82278300
23,2021-09-08,151.42027282714844,155.11000061035156,157.0399932861328,153.97999572753906,156.97999572753906,74420200
24,2021-09-09,150.40504455566406,154.07000732421875,156.11000061035156,153.9499969482422,155.49000549316406,57305700
25,2021-09-10,145.42637634277344,148.97000122070312,155.47999572753906,148.6999969482422,155.0,140893200
26,2021-09-13,145.9925537109375,149.5500030517578,151.4199981689453,148.75,150.6300048828125,102404300
27,2021-09-14,144.5965118408203,148.1199951171875,151.07000732421875,146.91000366210938,150.35000610351562,109296300
28,2021-09-15,145.48492431640625,149.02999877929688,149.44000244140625,146.3699951171875,148.55999755859375,83281300
29,2021-09-16,145.25067138671875,148.7899932861328,148.97000122070312,147.22000122070312,148.44000244140625,68034100
30,2021-09-17,142.58554077148438,146.05999755859375,148.82000732421875,145.75999450683594,148.82000732421875,129868800
31,2021-09-20,139.53976440429688,142.94000244140625,144.83999633789062,141.27000427246094,143.8000030517578,123478900
32,2021-09-21,140.0181427001953,143.42999267578125,144.60000610351562,142.77999877929688,143.92999267578125,75834000
33,2021-09-22,142.38055419921875,145.85000610351562,146.42999267578125,143.6999969482422,144.4499969482422,76404300
34,2021-09-23,143.33724975585938,146.8300018310547,147.0800018310547,145.63999938964844,146.64999389648438,64838200
35,2021-09-24,143.42510986328125,146.9199981689453,147.47000122070312,145.55999755859375,145.66000366210938,53477900
36,2021-09-27,141.91197204589844,145.3699951171875,145.9600067138672,143.82000732421875,145.47000122070312,74150700
37,2021-09-28,138.53433227539062,141.91000366210938,144.75,141.69000244140625,143.25,108972300
38,2021-09-29,139.4324188232422,142.8300018310547,144.4499969482422,142.02999877929688,142.47000122070312,74602000
39,2021-09-30,138.13404846191406,141.5,144.3800048828125,141.27999877929688,143.66000366210938,89056700
40,2021-10-01,139.25668334960938,142.64999389648438,142.9199981689453,139.11000061035156,141.89999389648438,94639600
41,2021-10-04,135.8302001953125,139.13999938964844,142.2100067138672,138.27000427246094,141.75999450683594,98322000
42,2021-10-05,137.7533416748047,141.11000061035156,142.24000549316406,139.36000061035156,139.49000549316406,80861100
43,2021-10-06,138.62217712402344,142.0,142.14999389648438,138.3699951171875,139.47000122070312,83221100
44,2021-10-07,139.88145446777344,143.2899932861328,144.22000122070312,142.72000122070312,143.05999755859375,61732700
45,2021-10-08,139.500732421875,142.89999389648438,144.17999267578125,142.55999755859375,144.02999877929688,58773200
46,2021-10-11,139.4128875732422,142.80999755859375,144.80999755859375,141.80999755859375,142.27000427246094,64452200
47,2021-10-12,138.143798828125,141.50999450683594,143.25,141.0399932861328,143.22999572753906,73035900
48,2021-10-13,137.55809020996094,140.91000366210938,141.39999389648438,139.1999969482422,141.24000549316406,78762700
49,2021-10-14,140.34024047851562,143.75999450683594,143.8800048828125,141.50999450683594,142.11000061035156,69907100
50,2021-10-15,141.39462280273438,144.83999633789062,144.89999389648438,143.50999450683594,143.77000427246094,67940300
51,2021-10-18,143.06394958496094,146.5500030517578,146.83999633789062,143.16000366210938,143.4499969482422,85589200
52,2021-10-19,145.22134399414062,148.75999450683594,149.1699981689453,146.5500030517578,147.00999450683594,76378900
53,2021-10-20,145.70948791503906,149.25999450683594,149.75,148.1199951171875,148.6999969482422,58418800
54,2021-10-21,145.92420959472656,149.47999572753906,149.63999938964844,147.8699951171875,148.80999755859375,61421000
55,2021-10-22,145.1530303955078,148.69000244140625,150.17999267578125,148.63999938964844,149.69000244140625,58883400
56,2021-10-25,145.10418701171875,148.63999938964844,149.3699951171875,147.6199951171875,148.67999267578125,50720600
57,2021-10-26,145.76803588867188,149.32000732421875,150.83999633789062,149.00999450683594,149.3300018310547,60893400
58,2021-10-27,145.30923461914062,148.85000610351562,149.72999572753906,148.49000549316406,149.36000061035156,56094900
59,2021-10-28,148.94070434570312,152.57000732421875,153.1699981689453,149.72000122070312,149.82000732421875,100077900
